rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std
300.0,167936,605,277,1469.30191812,82,0.015096306800842285,0.0003,74160,4122.48374067545,0.2,-0.007332657925144303,0.032189455,0.11884765625,195.2211151123047,-27.887391531467436,10.947298049926758
300.0,169984,613,277,1468.15422311,83,0.004450678825378418,0.0003,74170,4144.239702701569,0.2,0.0035655125218909236,0.06527519,0.1470703125,8809.267578125,-27.90358387231827,10.913806915283203
300.0,172032,620,277,1468.11896685,84,-0.0024372339248657227,0.0003,74180,4092.932598590851,0.2,-0.00430240294426767,0.052297436,0.170068359375,8791.59375,-27.919599097967147,10.933101654052734
300.0,174080,628,277,1471.1999759299995,85,0.06366932392120361,0.0003,74190,3459.855019724369,0.2,-0.00935811075323727,0.057660528,0.148046875,68.61499786376953,-27.919438791275024,10.956666946411133
300.0,176128,635,277,1471.3009637799998,86,0.010201871395111084,0.0003,74200,4108.498983168602,0.2,-0.00417604055328411,0.04102373,0.134423828125,86.56251525878906,-27.943370258808137,11.001082420349121
300.0,178176,642,277,1471.4623844599998,87,0.015203535556793213,0.0003,74210,4100.741443455219,0.2,-0.011182466262107482,0.029550157,0.108984375,201.68548583984375,-27.937578213214874,10.901570320129395
300.0,180224,650,277,1468.8809351299997,88,0.015044748783111572,0.0003,74220,4105.30839881897,0.2,-0.0047281099446991,0.06827566,0.1462890625,8854.6240234375,-27.912642848491668,10.864652633666992
300.0,182272,657,277,1473.1783308699999,89,0.01955801248550415,0.0003,74230,4107.557192444801,0.2,-0.006817538176983362,0.022767918,0.1037109375,274.9862976074219,-27.895894831418993,10.829310417175293
300.0,184320,664,277,1473.2800984600003,90,0.028190195560455322,0.0003,74240,3461.595460665226,0.2,-0.009260938339866697,0.039481834,0.148876953125,96.56669616699219,-27.891796314716338,10.814887046813965
300.0,186368,671,277,1469.2887685199998,91,0.0011342763900756836,0.0003,74250,4149.442377054691,0.2,-0.0059521988674532626,0.041903872,0.14638671875,8860.0849609375,-27.88009414076805,10.764806747436523
300.0,188416,679,277,1467.4848852399998,92,0.2935410141944885,0.0003,74260,4078.6218043446543,0.2,-0.006436750807188219,0.0405571,0.1384765625,248.39862060546875,-27.862310993671418,10.74545669555664
